# Unmatched product spellings (no master product >= score 0.9)
# Candidates for manual seeding into product_master.json.
# 1802 spellings.

***EBERFINE	[COSMO]
***NEVLON MOISTURISING BABY	[COSMO]
***OXIDOX 130MG	[PHARMA]
**EKRAN SOFT SILI GEL 50SP	[COSMO]
*ONITRAZ 200 TAB.	[COSMO]
*OPTIVIEW-HA EYE DRO 10 ML.	[COSMO]
....TROYLITE CREAM	[COSMO]
...NIGLOW FOAMING FACE WASH	[COSMO]
...NIOSALIC F CREAM	[COSMO]
..KENTRUFF STAYON LOTION	[COSMO]
..KLM D3 PLUS DROP	[COSMO]
..ONITRAZ SB	[COSMO]
..OXIDOX	[COSMO]
..SACCTIK PLUS RESPULES	[COSMO]
..SOFIDEW BABY MOIST LOTION 200M	[COSMO]
..SOFIKID GUMMY	[COSMO]
..XEPIBACT CREAM	[COSMO]
05401 NIOCLEAN AD 15GM GEL	[COSMO]
05402 NIOSOL OINT	[COSMO]
05403 NIOSOL F CREAM	[COSMO]
05404 NIOGENTA F CREAM	[COSMO]
05405 NIOSALIC OINT	[COSMO]
05407 NIOCLEAN 20GM GEL	[COSMO]
05408 ZYDIP 50ML	[COSMO]
05409 ZYDIP C 20GM	[COSMO]
05410 ZYDIP C 30ML	[COSMO]
05411 KENZ 60ML	[COSMO]
05412 KENZ SAL 60ML	[COSMO]
05413 NEVLON 50GM	[COSMO]
05414 NEVLON 100GM	[COSMO]
05415 MELAPIK 20GM	[COSMO]
05416 NEVLON 75GM	[COSMO]
05417 EKRAN AQUA 50GM GEL	[COSMO]
05418 EKRAN 50GM	[COSMO]
05419 ONITRAZ	[COSMO]
05420 MELAPIK EVER 20GM	[COSMO]
05421 MELAPIK KD 15GM GEL	[COSMO]
05422 MFSONE 10GM	[COSMO]
05423 MFSONE 30GM	[COSMO]
05424 SUDIF 10GM	[COSMO]
05425 KLMKLIN 50GM FACE WASH	[COSMO]
05426 KLMKLIN 100ML FACE WASH	[COSMO]
05427 KLMKLIN AHA 50ML FACE W	[COSMO]
05428 KLMKLIN AHA 100ML FACE	[COSMO]
05429 KLMKLIN 75GM	[COSMO]
05430 RESOTEN	[COSMO]
05431 RESOTEN	[COSMO]
05432 EXTEND	[COSMO]
05433 EXTEND FORTE	[COSMO]
05434 KENZ	[COSMO]
05435 ZYDIP 100ML	[COSMO]
05436 KLIN	[COSMO]
05437 VIRAX 800	[COSMO]
05438 NEVLON CALOE 100ML LOTI	[COSMO]
05439 NEVLON	[COSMO]
05440 MELAPIK PLUS	[COSMO]
05442 NIOGENTA F 10G	[COSMO]
05443 NEVLON CALOE 60ML LOTIO	[COSMO]
05444 MFSUDIF	[COSMO]
05445 KOJITIN EMULGEL	[COSMO]
05446 VIRAX FC	[COSMO]
05447 TECUM	[COSMO]
05448 IMXIA-5	[COSMO]
05451 EKRAN 70 SUNSCREEN CREA	[COSMO]
05452 NIOGLOW FOAMING FACE WA	[COSMO]
05453 NEVLON LOTION 200ML(BIG	[COSMO]
05454 NEVLON MOISTURIZING BAB	[COSMO]
05455 KENZ	[COSMO]
05456 EPISERT CREAM	[COSMO]
05457 EPISERT CREAM	[COSMO]
05458 SUDIF CREAM	[COSMO]
05459 ONITRAZ FORTE	[COSMO]
05460 TRUNEX MS GEL	[COSMO]
05461 IMXIA XL SERUM	[COSMO]
05462 IMXIA XL SERUM	[COSMO]
05463 NIOFINE	[COSMO]
05464 NIOFINE DUSTING POWDER	[COSMO]
05467 LULIZOL CREAM	[COSMO]
05468 LULIZOL CREAM	[COSMO]
05469 EPISERT CREAM	[COSMO]
05470 LULIZOL CREAM	[COSMO]
05471 IMXIA-10	[COSMO]
05472 LULIZOL	[COSMO]
05473 XEROLENE CREAM	[COSMO]
05476 EKRAN SOFT SILICONE SUN	[COSMO]
05477 TYROLITE	[COSMO]
05478 NIOFINE FORTE	[COSMO]
05479 OXIDOX	[COSMO]
05480 MELAPIK HQ	[COSMO]
05481 EBERFINE	[COSMO]
05482 KLMITE	[COSMO]
05484 NEVSOFT CLEANSING LOTIO	[COSMO]
05485 EBERFINE CREAM	[COSMO]
05488 EBERFINE	[COSMO]
05490 EXTEND HAIR	[COSMO]
05491 SOFIDEW BABY MASSAGE OI	[COSMO]
05492 DESOSOFT	[COSMO]
05493 SOFIRASH CREAM	[COSMO]
05494 SOFIRASH CREMA	[COSMO]
05495 TODDRUB OINTMENT	[COSMO]
05497 KLMC 1000	[COSMO]
05498 MUPISOFT OINTMENT	[COSMO]
05499 SOFIDEW BABY SHAMPOO	[COSMO]
05500 KENTRUFF STAYON	[COSMO]
05501 SOFIDEW BABY MOISTURIZI	[COSMO]
05503 KENZ	[COSMO]
05504 KLCLAV KID SUSPENSION	[COSMO]
05505 SOFIDEW BABY MOIST LOTI	[COSMO]
05506 CANROLFIN CREAM	[COSMO]
05507 CANROLFIN CREAM	[COSMO]
05508 KLM D3 NANO	[COSMO]
05509 SACCTIK 3*0.84G SACHETS 1GM*3	[COSMO]
05510 KLMITE	[COSMO]
05511 OXIDOX CAP (30)	[COSMO]
05512 KORTUF 6	[COSMO]
05513 IMXIA PLUS SHAMPOO	[COSMO]
05516 SOFIRASH CREAM	[COSMO]
05517 CETALORE	[COSMO]
05518 NEVLON XL LOTION	[COSMO]
05519 EBERFINE M	[COSMO]
05520 HERPIVAL	[COSMO]
05521 DESOSOFT	[COSMO]
05522 NEPATRET	[COSMO]
05523 MOXIVIEW	[COSMO]
05524 MOXIVIEW D	[COSMO]
05525 OPTIVIEW LUBRICANT	[COSMO]
05526 OPTIVIEW HA	[COSMO]
05527 CETALORE 10	[COSMO]
05528 GLUTADERM	[COSMO]
05529 I-EXTEND	[COSMO]
05530 MELBOOST	[COSMO]
05531 KOXITUF	[COSMO]
05532 KOXITUF MR	[COSMO]
05534 NEVLON ACNE SYNDET BAR	[COSMO]
05536 NEVLON ANTI ITCH SOFT C	[COSMO]
05538 HISTABIL	[COSMO]
05539 KLCLAV 625	[COSMO]
05540 MUPITRET	[COSMO]
05541 NEVLON MAX	[COSMO]
05542 MELBOOST SOLUTION	[COSMO]
05543 MELBOOST SOLUTION	[COSMO]
05544 KLMC 1000 TAB (10)	[COSMO]
05545 SOFIDEW CREAM	[COSMO]
05546 EXTEND TOTAL	[COSMO]
05547 IMXIA AT 5% SOLUTION	[COSMO]
05548 NIOSALIC	[COSMO]
05549 NIOSALIC	[COSMO]
05551 COSMO Q SHAMPOO	[COSMO]
05552 COSMO Q AC SUNSCREEN GE	[COSMO]
05553 COSMO Q MOISTURIZING CR	[COSMO]
05554 NADITRET	[COSMO]
05555 NADITRET PLUS	[COSMO]
05556 COSMO Q OC MOISTURIZING	[COSMO]
05557 COSMO Q FACEWASH GEL	[COSMO]
05558 KENZA PLUS	[COSMO]
05559 XALIDERM SOLUTION	[COSMO]
05560 COSMO Q UNDER EYE SERUM	[COSMO]
05561 COSMO Q BRIGHTENING SER	[COSMO]
05563 SEBOZIT GEL	[COSMO]
05564 ONITRAZ SB	[COSMO]
05565 K-DOX	[COSMO]
05566 EBERFINE XL	[COSMO]
05567 LULIZOL XL	[COSMO]
05568 NEVLON INTENSE	[COSMO]
05569 COSMO Q CONDITIONER	[COSMO]
05570 ZUVIMAX	[COSMO]
05571 ONITRAZ SB FORTE	[COSMO]
05572 KERAMATE HAIR COLOR(N B	[COSMO]
05573 KERAMATE HAIR COLOR(N B	[COSMO]
05574 KOJITIN ULTRA EMULGEL	[COSMO]
05577 FOLIBILD	[COSMO]
05578 KOFCATCH LS 100ML SYR	[COSMO]
05579 KOFCATCH DX 100ML SY	[COSMO]
05581 EKRAN MS GEL	[COSMO]
05582 EXTEND HAIR GUMMY POUCH	[COSMO]
05584 BLEMGUARD TX FACE SERUM	[COSMO]
05585 STRIANIL ANTI STRETCH C	[COSMO]
05586 KLMKLIN 150ML FACE WASH	[COSMO]
05587 IMXIA PRO SERUM	[COSMO]
05588 IMXIA YUTH	[COSMO]
05589 NIOCLEAN AD	[COSMO]
05590 ZYDIP C 50ML	[COSMO]
05591 ZYCOZOL	[COSMO]
05592 XEROLENE MAX	[COSMO]
1 AMOC0001 AMOCLAFIX 625 (10 TAB)	[COSMOCOR]
1 AMOCLAFIX	[COSMOCOR]
1 APPYBUSH SYRUP 200M20L0ML	[PEDIA]
1 BLEMGUARD FACE SERUM	[COSMO]
1 BLEMGUARD TX FACE SERUM	[COSMO Q]
1 CETALORE 10	[DERMA]
1 CUTI0006 CUTIHEAL CREAM (15GM)	[PEDIA]
1 CUTIHEAL	[PEDIA]
1 CUTIHEAL CREAM 1%	[COSMO]
1 DESOSOFT	[COSMO]
1 EBER0003 EBERFINE LOT (50 GM)	[COSMO]
1 EBERFINE	[PHARMA]
1 EKRAN AQUA GEL	[COSMO]
1 EPISERT	[COSMO]
1 HBSONE	[DERMA]
10 3825 NIOCLEAN GEL	[COSMOCOR]
10 3832 NEVLON CREAM	[DERMA]
10 COSMOQ SHAMPOO	[COSMO]
10 ENZO0002 ENZOTRET	[COSMO]
10 HISTABIL M SUSPENSIO6N0ML	[PEDIA]
10 K-DOX	[COSMO]
10 KENZ	[COSMO]
10 KERAMATE HAIR COLOUR BLACK	[COSMO Q]
10 LULIZOL	[DERMACOR]
10 NEVLON	[COSMO]
10 NIOGENTA-F	[COSMOCOR]
10 NIOSALIC	[COSMO]
10 ONITRAZ	[DERMA]
10 SOFIDEW BABY POWDER	[COSMO]
10 SOFIDEW RESYL	[PEDIA]
11 13346 IMXIA PLUS SHAMPOO	[PHARMA]
11 3826 NIOCLEAN-AD	[COSMOCOR]
11 3831 NEVLON CREAM	[DERMA]
11 8798 HERPIVAL 500 3STRIP	[COSMO]
11 HISTABIL ORAL SOLUTI6O0N M 6L0ML	[PEDIA]
11 IMXIA PRO SERUM	[COSMO]
11 KENTRUFF STAYON	[COSMO]
11 KERA0007 KERAMATE BLACK COLOUR (60 GM)	[COSMO Q]
11 KERAMATE HAIR COLOUR BROWN	[COSMO Q]
11 KLCL0002 KLCLAV KID DT (10 TAB)	[PEDIA]
11 KLMC-1000	[PHARMA]
11 NEVLON INTENSE MOIS LOTIO	[COSMO]
11 NIOSALIC	[COSMO]
11 ONITRAZ FORTE	[DERMA]
11 SCARCOTE GEL	[COSMO]
11 SOFIDEW BABY SHAMPOO	[COSMO]
11 SOFIRASH	[PEDIA]
12 11524 KLM D3 NANO	[PEDIA]
12 8885 HERPIVAL-1000	[COSMO]
12 HUMISOFT	[PEDIA]
12 IMXIA SOFT HAIR MOIS	[COSMO]
12 KENZ PLUS	[COSMO]
12 KERA0008 KERAMATE BROWN COLOUR (60 GM)	[COSMO Q]
12 KLIN AHA FOAMING GEL	[COSMO]
12 KLMITE	[PHARMA]
12 MELAPIK	[PHARMA]
12 NEVL0004 NEVLON GLO BAR (75 GM)	[DERMA]
12 NEVLON	[COSMO]
12 NIOSALIC	[COSMOCOR]
12 PRILODERM GEL	[COSMO Q]
12 SOFIDEW CALOE	[COSMO]
13 8748 NIOFINE DUSTING POWDER	[COSMOCOR]
13 HIST0004 HISTABIL 40MG (10 TAB)	[COSMO]
13 IMXIA HAIR MOIS GEL	[COSMO]
13 IMXIA XL SERUM	[COSMO]
13 K DO0001 K DOX (10 CAP)	[PHARMA]
13 KLIN FACE WASH	[COSMO]
13 KLMITE	[PHARMA]
13 MELAPIK HQ	[PHARMA]
13 NEVLON MAX	[COSMO]
13 NIOSALIC-6	[COSMOCOR]
13 PRILODERM GEL	[COSMO Q]
13 SOFIDEW	[COSMO]
13 SUDIF	[DERMA]
13 TECUM	[DERMACOR]
14 13397 NIOFINE FORTE	[COSMOCOR]
14 HIST0001 HISTABIL	[COSMO]
14 IMXIA XL SERUM	[COSMO]
14 KENT0003 KENTRUFF LOT (50 ML)	[PHARMA]
14 KLCLAV ES ORAL SUSPE5N0SMIOLN	[PEDIA]
14 KLIN FACE WASH	[COSMO]
14 KOFC0002 KOFCATCH D (100ML)	[PEDIA]
14 KOJITIN EMUL GEL	[COSMO]
14 MELAPIK HQ	[PHARMA]
14 NEVL0003 NEVLON INTENSE LOTION (150ML)	[DERMA]
14 NEVLON	[COSMO]
14 NIOSOL	[COSMOCOR]
14 SCARCOTE GEL	[COSMO Q]
14 SOFIKID	[COSMO]
14 XEPINOXIN	[DERMA]
14 ZUVI0001 ZUVIMAX CRE (20 GM)	[COSMO Q]
15 3833 NEVLON	[DERMA]
15 8317 IMXIA XL SERUM	[COSMO]
15 8397 NIOFINE	[COSMOCOR]
15 KENT0002 KENTRUFF LOT (75 ML)	[PHARMA]
15 KLIN	[COSMO]
15 KOJITIN ULTRA GEL	[COSMO]
15 NADITRET CR	[PHARMA]
15 OFACITIX	[COSMO]
15 ONITRAZ	[COSMO]
15 SOFIKIND ZN	[COSMO]
15 XEROLENE	[DERMA]
15 ZUVIMAX	[COSMO Q]
16 14623 KENTRUFF LOTION	[PHARMA]
16 3864 NEVLON	[DERMA]
16 3867 NIOGENTA-F	[COSMOCOR]
16 9108 IMXIA	[COSMO]
16 KLMITE	[COSMO]
16 KOFC0001 KOFCATCH LS JUNIOUR (100 ML)	[PEDIA]
16 LULIZOL CREAM	[COSMO]
16 NADITRET PLUS	[PHARMA]
16 NADITRET PLUS CR	[PHARMA]
16 OFACITIX	[COSMOCOR]
16 ONITRAZ FORTE	[COSMO]
16 SOFIRASH	[COSMO]
16 STRIANIL CREAM	[PEDIA]
17 10356 MUPISOFT	[PEDIA]
17 IMXI0003 IMXIA 2% SOLUTION (60 ML)	[COSMO]
17 KENZ0001 KENZ PLUS LOTION (100ML)	[PHARMA]
17 KLMITE	[COSMO]
17 KOJITIN GEL	[COSMO]
17 LULIZOL-XL	[COSMO]
17 NEVL0001 NEVLON XL LOTION	[DERMA]
17 NEVLON ACNE BAR	[PHARMA]
17 NEVLON MAX	[COSMO]
17 NEVSOFT CLEANSING	[PHARMA]
17 SPASTRET SYRUP	[COSMO]
17 TRUNEX MS GEL	[COSMO]
18 4043 IMXIA 5 SERUM	[COSMO]
18 9677 ONITRAZ CAP 10 STRIP	[DERMA]
18 KLCL0001 KLCLAV 625	[PHARMA]
18 KOFCATCH AX SYP 1001M0L0ML	[PEDIA]
18 KOJITIN ULTRA GEL	[COSMO]
18 MELAPIK EVER NEW	[COSMO]
18 MELAPIK-HQ	[COSMO]
18 NEVLON ANTI-ITCH SOFT	[PHARMA]
